节点名称,产业链,层级,A_进口依存度(0-4),B_技术成熟度反向(0-4),C_断供风险(0-4),D_突破难度(0-4),总分(0-16),卡脖子等级,等级说明,判断依据
半导体设备,半导体,2级/上游,3,3,3,3,12,A级,重度卡脖子,整体严重依赖进口，AMAT/ASML/LAM主导，管制已落地
半导体材料,半导体,2级/上游,2,2,2,2,8,B级,中度受限,部分材料国产化进展中，高端品类仍依赖日本
芯片技术服务,半导体,2级/上游,2,2,2,2,8,B级,中度受限,EDA/IP授权高度依赖美国生态
半导体产品安装劳务,半导体,2级/下游,0,0,0,0,0,D级,中国优势,劳动密集型服务，国内充足
按产品分类,半导体,2级/中游,1,1,1,0,3,C级,低风险,分类节点，各子类差异显著
IC生产设备,半导体,3级/上游,4,3,3,3,13,S级,极度卡脖子,前道设备90%+依赖进口，AMAT/LAM/TEL全面管制
硅材料,半导体,3级/上游,2,2,1,1,6,B级,中度受限,中国是多晶硅大国，但12寸硅片高品质仍依赖日本
半导体材料生产设备,半导体,3级/上游,3,3,2,3,11,A级,重度卡脖子,专用设备高度依赖日本，国内起步晚
超净高纯试剂,半导体,3级/上游,3,3,2,3,11,A级,重度卡脖子,半导体级高纯度试剂90%依赖进口，日本企业主导
MO源,半导体,3级/上游,3,3,2,3,11,A级,重度卡脖子,高纯MO源主要依赖美日德，国内少量量产但纯度不达标
靶材,半导体,3级/上游,2,2,2,2,8,B级,中度受限,铝靶国产化较好，钽钼等高端靶材仍依赖日本
光刻胶,半导体,3级/上游,4,4,3,4,15,S级,极度卡脖子,KrF/ArF光刻胶95%+依赖日本JSR/信越/东京应化，已被管制
光刻掩膜版,半导体,3级/上游,3,3,3,3,12,A级,重度卡脖子,高端掩膜版严重依赖进口，国内仅能做低端产品
芯片封装设计服务,半导体,3级/上游,1,1,1,1,4,C级,低风险,封装设计国内有一定能力，但先进封装依赖台积电等
氮化镓,半导体,3级/上游,2,2,1,2,7,B级,中度受限,国内在GaN方面有一定突破，但高端器件仍依赖进口
EDA软件,半导体,3级/上游,4,4,4,4,16,S级,极度卡脖子,Synopsys/Cadence/Mentor三巨头垄断，已实施出口管制
半导体IP核授权服务,半导体,3级/上游,4,4,3,4,15,S级,极度卡脖子,ARM/MIPS等核心IP几乎100%依赖境外授权
半导体测试板,半导体,3级/上游,2,2,2,2,8,B级,中度受限,高端测试板依赖日本精工爱普等，国内有基础产品
消费电子产品,半导体,3级/下游,0,0,0,0,0,D级,中国优势,中国全球最大消费电子制造国，明显优势
电脑与外围设备,半导体,3级/下游,1,0,0,0,1,C级,低风险,代工主导，整机零部件有一定进口依赖
电子制造,半导体,3级/下游,0,0,0,0,0,D级,中国优势,中国制造业第一大国，无卡脖子问题
医疗保健设备,半导体,3级/下游,2,2,1,1,6,B级,中度受限,高端医疗影像设备仍依赖GE/西门子
手机,半导体,3级/下游,1,0,0,0,1,C级,低风险,华为/小米/OPPO全球竞争力强
